Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
KKCS,*06c6g*,4,8,44,F,Yankuba Minteh,BHA,28,318.25,11.37,24,20,34.006211180124225,328.5,9.66,36,8,0.9687975646879756
PLE,*06do9*,4,9,45,D,Milos Kerkez,LIV,22,141.75,6.44,72,-27,33.994932432432435,201.25,5.92,155,-110,0.7043478260869566
PUN,*0427d*,4,10,46,D,James Tarkowski,EVE,37,429,11.59,6,40,37.01466781708369,429,11.59,6,40,1
OWL,*067yv*,4,11,47,F,Cody Gakpo,LIV,33,308,9.33,25,22,35.992324561403514,328.25,9.12,37,10,0.9383092155369384
STL,*03fgo*,4,12,48,F,Dominic Solanke,TOT,0,0,0,172,-124,15.00759878419453,98.75,6.58,294,-246,0
STL,*05y9n*,5,1,49,D,Lewis Hall,NEW,22,175.5,7.98,65,-16,29.979674796747968,221.25,7.38,136,-87,0.7932203389830509
OWL,*04adp*,5,2,50,D,Aaron Wan-Bissaka,WHU,9,81.5,9.06,91,-41,25,165,6.6,202,-152,0.49393939393939396
PUN,*056iy*,5,3,51,F,Pedro Lomba Neto,CHE,27,251,9.3,42,9,33.98255813953489,292.25,8.6,58,-7,0.8588537211291702
PLE,*06ex4*,5,4,52,D,Josko Gvardiol,MCI,0,0,0,172,-120,17.994350282485875,159.25,8.85,212,-160,0
KKCS,*052h5*,5,5,53,F,Gabriel Teodoro Martinelli Silva,ARS,3,8.25,2.75,140,-87,30,118.5,3.95,266,-213,0.06962025316455696
BRG,*05r94*,5,6,54,F,Iliman Ndiaye,EVE,30,276.25,9.21,33,21,32.005494505494504,291.25,9.1,61,-7,0.9484978540772532
RVN,*04e1e*,5,7,55,D,Ben White,ARS,1,9,9,139,-84,12.001246882793017,96.25,8.02,301,-246,0.09350649350649351
MTP,*04yo7*,5,8,56,M,Youri Tielemans,AVL,15,132.75,8.85,80,-24,25.000000000000004,200.75,8.03,158,-102,0.6612702366127023
UFOE,*05uor*,5,9,57,F,Yoane Wissa,BRF,3,6.5,2.17,144,-87,18.974358974358974,37,1.95,396,-339,0.17567567567567569
