Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
PLE,*0626q*,8,9,93,M,Simon Adingra,SUN,2,10.25,5.12,136,-43,13.992537313432837,56.25,4.02,375,-282,0.18222222222222223
PUN,*05uoc*,8,10,94,D,Cristian Romero,TOT,7,63,9,101,-7,22.993827160493826,223.5,9.72,130,-36,0.28187919463087246
OWL,*04qrc*,8,11,95,F,Raul Jimenez,FUL,1,4,4,152,-57,36.01583113456464,273,7.58,81,14,0.014652014652014652
STL,*06zce*,8,12,96,M,Jhon Arias,WOL,2,4.25,2.12,151,-55,23.028169014084508,81.75,3.55,331,-235,0.05198776758409786
STL,*06cm1*,9,1,97,F,Nicolas Jackson,CHE,0,0,0,172,-75,0,0,0,0,0,0
OWL,*05u7f*,9,2,98,D,Ibrahima Konate,LIV,30,238,7.93,48,50,36,297,8.25,55,43,0.8013468013468014
PUN,*06ymu*,9,3,99,D,El Hadji Malick Diouf,WHU,5,35.75,7.15,116,-17,31.984036488027368,280.5,8.77,74,25,0.12745098039215685
PLE,*05s08*,9,4,100,D,Valentino Livramento,NEW,10,72,7.2,96,4,17.004504504504503,113.25,6.66,271,-171,0.6357615894039735
KKCS,*05akv*,9,5,101,D,Tyrick Mitchell,CRY,33,256.5,7.77,41,60,38.01756587202008,303,7.97,49,52,0.8465346534653465
BRG,*04tig*,9,6,102,D,Fabian Schar,NEW,11,117.25,10.66,81,21,15.991784037558686,136.25,8.52,249,-147,0.8605504587155963
RVN,*02lsa*,9,7,103,D,Dan Burn,NEW,26,222.25,8.55,50,53,28.987341772151897,229,7.9,120,-17,0.9705240174672489
MTP,*05a6e*,9,8,104,D,Neco Williams,NOT,31,337,10.87,18,86,37.00396825396825,373,10.08,20,84,0.903485254691689
UFOE,*06pia*,9,9,105,D,Maxence Lacroix,CRY,34,329,9.68,22,83,34.98483316481294,346,9.89,27,78,0.9508670520231214
COB,*062dt*,9,10,106,M,Joao Maria Lobo Alves Palhinha Goncalves,TOT,1,21.25,21.25,129,-23,33.010432190760056,221.5,6.71,135,-29,0.09593679458239278
WOL,*06y9m*,9,11,107,D,Maxim De Cuyper,BHA,6,66.5,11.08,99,8,30.01543209876543,194.5,6.48,164,-57,0.34190231362467866
BGE,*04yey*,9,12,108,D,Max Kilman,WHU,10,43.25,4.33,111,-3,20.985401459854014,86.25,4.11,315,-207,0.5014492753623189
BGE,*05l27*,10,1,109,D,Jarrad Branthwaite,EVE,4,31.25,7.81,122,-13,9.994068801897983,84.25,8.43,322,-213,0.37091988130563797
WOL,*03rxs*,10,2,110,F,Harry Wilson,FUL,0,0,0,172,-62,36.00867678958785,332,9.22,33,77,0
COB,*06p4j*,10,3,111,D,Noussair Mazraoui,MUN,1,1.25,1.25,165,-54,19.981060606060606,105.5,5.28,281,-170,0.011848341232227487
UFOE,*05opj*,10,4,112,M,Elliot Anderson,NOT,33,332.5,10.08,19,93,37.999049429657795,399.75,10.52,14,98,0.8317698561601
MTP,*05gcc*,10,5,113,M,Kiernan Dewsbury-Hall,EVE,22,204.75,9.31,55,58,31.008583690987123,289,9.32,63,50,0.7084775086505191
RVN,*05gcp*,10,6,114,M,Tomas Soucek,WHU,0,0,0,172,-58,35.00830564784054,210.75,6.02,146,-32,0
BRG,*06uyc*,10,7,115,D,Adrien Truffert,BOU,35,357.5,10.21,14,101,37.9889669007021,378.75,9.97,18,97,0.9438943894389439
KKCS,*066sd*,10,8,116,D,Myles Lewis-Skelly,ARS,3,17,5.67,134,-18,20.027624309392266,36.25,1.81,397,-281,0.4689655172413793
PLE,*06jgs*,10,9,117,M,Adam Wharton,CRY,20,161,8.05,69,48,33.98601398601399,243,7.15,108,9,0.6625514403292181
PUN,*04qfm*,10,10,118,M,Ryan Sessegnon,FUL,0,0,0,172,-54,26.980568011958145,180.5,6.69,179,-61,0
OWL,*06dmj*,10,11,119,D,Jurrien Timber,ARS,0,0,0,172,-53,29.9953531598513,322.75,10.76,40,79,0
STL,*06zna*,10,12,120,F,Dan Ndoye,NOT,1,4.5,4.5,150,-30,23.980815347721823,100,4.17,289,-169,0.045
STL,*06v0p*,11,1,121,M,Enzo Le F̩e,SUN,1,19,19,132,-11,35.99348534201954,331.5,9.21,34,87,0.05731523378582202
